,Year,Selling_Price,Present_Price,Driven_kms,Owner
Year,1.0,0.2361409801604347,-0.047192487284423816,-0.5243420406957324,-0.18210355920226318
Selling_Price,0.2361409801604347,1.0,0.8789144098187829,0.02918709067429123,-0.08834409908720228
Present_Price,-0.047192487284423816,0.8789144098187829,1.0,0.2036177494739351,0.008058442650268128
Driven_kms,-0.5243420406957324,0.02918709067429123,0.2036177494739351,1.0,0.08921620186144577
Owner,-0.18210355920226318,-0.08834409908720228,0.008058442650268128,0.08921620186144577,1.0
